0 , ML , HNode: 48, LNode: 219, solved: 161ms, makespan: 47, sum_of_costs: 1412, sum_of_loss: 1304
0 , distance , HNode: 45, LNode: 211, solved: 105ms, makespan: 44, sum_of_costs: 1353, sum_of_loss: 1274
0 , conflict , HNode: 46, LNode: 216, solved: 103ms, makespan: 45, sum_of_costs: 1339, sum_of_loss: 1256
0 , neighbour , HNode: 45, LNode: 199, solved: 102ms, makespan: 44, sum_of_costs: 1320, sum_of_loss: 1259
1 , ML , HNode: 59, LNode: 273, solved: 199ms, makespan: 58, sum_of_costs: 1448, sum_of_loss: 1313
1 , distance , HNode: 57, LNode: 263, solved: 184ms, makespan: 56, sum_of_costs: 1439, sum_of_loss: 1314
1 , conflict , HNode: 57, LNode: 264, solved: 145ms, makespan: 56, sum_of_costs: 1422, sum_of_loss: 1302
1 , neighbour , HNode: 62, LNode: 262, solved: 136ms, makespan: 60, sum_of_costs: 1421, sum_of_loss: 1340
2 , ML , HNode: 48, LNode: 216, solved: 154ms, makespan: 47, sum_of_costs: 1161, sum_of_loss: 1085
2 , distance , HNode: 46, LNode: 215, solved: 158ms, makespan: 45, sum_of_costs: 1236, sum_of_loss: 1115
2 , conflict , HNode: 50, LNode: 232, solved: 123ms, makespan: 49, sum_of_costs: 1185, sum_of_loss: 1048
2 , neighbour , HNode: 49, LNode: 222, solved: 110ms, makespan: 48, sum_of_costs: 1213, sum_of_loss: 1057
3 , ML , HNode: 53, LNode: 235, solved: 221ms, makespan: 52, sum_of_costs: 1390, sum_of_loss: 1227
3 , distance , HNode: 51, LNode: 234, solved: 115ms, makespan: 50, sum_of_costs: 1360, sum_of_loss: 1222
3 , conflict , HNode: 52, LNode: 234, solved: 138ms, makespan: 51, sum_of_costs: 1364, sum_of_loss: 1228
3 , neighbour , HNode: 70, LNode: 315, solved: 195ms, makespan: 68, sum_of_costs: 1424, sum_of_loss: 1262
4 , ML , HNode: 64, LNode: 285, solved: 239ms, makespan: 63, sum_of_costs: 1274, sum_of_loss: 1175
4 , distance , HNode: 50, LNode: 219, solved: 111ms, makespan: 49, sum_of_costs: 1191, sum_of_loss: 1116
4 , conflict , HNode: 66, LNode: 309, solved: 233ms, makespan: 64, sum_of_costs: 1255, sum_of_loss: 1177
4 , neighbour , HNode: 50, LNode: 226, solved: 338ms, makespan: 49, sum_of_costs: 1170, sum_of_loss: 1107
5 , ML , HNode: 50, LNode: 229, solved: 169ms, makespan: 49, sum_of_costs: 1104, sum_of_loss: 988
5 , distance , HNode: 50, LNode: 237, solved: 170ms, makespan: 49, sum_of_costs: 1156, sum_of_loss: 1027
5 , conflict , HNode: 51, LNode: 237, solved: 152ms, makespan: 50, sum_of_costs: 1113, sum_of_loss: 996
5 , neighbour , HNode: 65, LNode: 331, solved: 172ms, makespan: 59, sum_of_costs: 1252, sum_of_loss: 1081
6 , ML , HNode: 48, LNode: 218, solved: 170ms, makespan: 47, sum_of_costs: 1219, sum_of_loss: 1084
6 , distance , HNode: 48, LNode: 224, solved: 120ms, makespan: 47, sum_of_costs: 1228, sum_of_loss: 1102
6 , conflict , HNode: 48, LNode: 220, solved: 109ms, makespan: 47, sum_of_costs: 1207, sum_of_loss: 1075
6 , neighbour , HNode: 48, LNode: 208, solved: 107ms, makespan: 47, sum_of_costs: 1249, sum_of_loss: 1083
7 , ML , HNode: 49, LNode: 220, solved: 176ms, makespan: 48, sum_of_costs: 1317, sum_of_loss: 1204
7 , distance , HNode: 48, LNode: 222, solved: 149ms, makespan: 47, sum_of_costs: 1245, sum_of_loss: 1158
7 , conflict , HNode: 48, LNode: 219, solved: 111ms, makespan: 47, sum_of_costs: 1293, sum_of_loss: 1172
7 , neighbour , HNode: 68, LNode: 392, solved: 149ms, makespan: 57, sum_of_costs: 1304, sum_of_loss: 1170
8 , ML , HNode: 45, LNode: 200, solved: 172ms, makespan: 44, sum_of_costs: 1404, sum_of_loss: 1270
8 , distance , HNode: 45, LNode: 192, solved: 104ms, makespan: 44, sum_of_costs: 1284, sum_of_loss: 1247
8 , conflict , HNode: 47, LNode: 212, solved: 109ms, makespan: 46, sum_of_costs: 1412, sum_of_loss: 1275
8 , neighbour , HNode: 49, LNode: 220, solved: 127ms, makespan: 48, sum_of_costs: 1449, sum_of_loss: 1277
9 , ML , HNode: 49, LNode: 218, solved: 209ms, makespan: 48, sum_of_costs: 1387, sum_of_loss: 1236
9 , distance , HNode: 44, LNode: 209, solved: 99ms, makespan: 43, sum_of_costs: 1348, sum_of_loss: 1200
9 , conflict , HNode: 44, LNode: 201, solved: 101ms, makespan: 43, sum_of_costs: 1343, sum_of_loss: 1201
9 , neighbour , HNode: 52, LNode: 230, solved: 117ms, makespan: 50, sum_of_costs: 1442, sum_of_loss: 1252
10 , ML , HNode: 47, LNode: 214, solved: 154ms, makespan: 46, sum_of_costs: 1079, sum_of_loss: 1017
10 , distance , HNode: 47, LNode: 209, solved: 107ms, makespan: 46, sum_of_costs: 1151, sum_of_loss: 1036
