Agent,Seed,Heuristic,Solved,HNode,LNode,Time,Makespan,SOC,SOL
50,0,ML,1, 45, 209, 60, 44, 1335, 1264
50,0,distance,1, 45, 211, 1, 44, 1353, 1274
50,0,conflict,1, 46, 216, 1, 45, 1339, 1256
50,0,neighbour,1, 45, 199, 1, 44, 1320, 1259
50,1,ML,1, 57, 261, 89, 56, 1425, 1269
50,1,distance,1, 57, 263, 2, 56, 1439, 1314
50,1,conflict,1, 57, 264, 1, 56, 1422, 1302
50,1,neighbour,1, 62, 262, 2, 60, 1421, 1340
50,2,ML,1, 50, 240, 94, 47, 1147, 1045
50,2,distance,1, 46, 215, 1, 45, 1236, 1115
50,2,conflict,1, 50, 232, 1, 49, 1185, 1048
50,2,neighbour,1, 49, 222, 1, 48, 1213, 1057
50,3,ML,1, 51, 233, 63, 50, 1352, 1236
50,3,distance,1, 51, 234, 1, 50, 1360, 1222
50,3,conflict,1, 52, 234, 1, 51, 1364, 1228
50,3,neighbour,1, 70, 315, 2, 68, 1424, 1262
50,4,ML,1, 50, 224, 65, 49, 1183, 1115
50,4,distance,1, 50, 219, 2, 49, 1191, 1116
50,4,conflict,1, 66, 309, 2, 64, 1255, 1177
50,4,neighbour,1, 50, 226, 1, 49, 1170, 1107
50,5,ML,1, 50, 217, 89, 49, 1081, 991
50,5,distance,1, 50, 237, 1, 49, 1156, 1027
50,5,conflict,1, 51, 237, 1, 50, 1113, 996
50,5,neighbour,1, 65, 331, 1, 59, 1252, 1081
50,6,ML,1, 48, 229, 67, 47, 1178, 1076
50,6,distance,1, 48, 224, 1, 47, 1228, 1102
50,6,conflict,1, 48, 220, 1, 47, 1207, 1075
50,6,neighbour,1, 48, 208, 1, 47, 1249, 1083
50,7,ML,1, 48, 220, 64, 47, 1267, 1164
50,7,distance,1, 48, 222, 1, 47, 1245, 1158
50,7,conflict,1, 48, 219, 1, 47, 1293, 1172
50,7,neighbour,1, 68, 392, 2, 57, 1304, 1170
50,8,ML,1, 45, 196, 64, 44, 1365, 1270
50,8,distance,1, 45, 192, 1, 44, 1284, 1247
50,8,conflict,1, 47, 212, 1, 46, 1412, 1275
50,8,neighbour,1, 49, 220, 1, 48, 1449, 1277
50,9,ML,0,-1,-1,-1,-1,-1,-1
50,9,distance,1, 44, 209, 1, 43, 1348, 1200
50,9,conflict,1, 44, 201, 1, 43, 1343, 1201
50,9,neighbour,1, 52, 230, 2, 50, 1442, 1252
50,10,ML,1, 47, 210, 62, 46, 1165, 1076
50,10,distance,1, 47, 209, 1, 46, 1151, 1036
50,10,conflict,1, 48, 212, 1, 47, 1132, 1041
50,10,neighbour,1, 47, 205, 1, 46, 1106, 1035
50,11,ML,1, 53, 242, 60, 52, 1094, 1006
50,11,distance,1, 53, 239, 1, 52, 1196, 1050
50,11,conflict,1, 53, 248, 1, 52, 1071, 979
50,11,neighbour,1, 53, 237, 1, 52, 1127, 1022
50,12,ML,1, 42, 188, 61, 41, 1196, 1111
50,12,distance,1, 42, 185, 1, 41, 1199, 1112
50,12,conflict,1, 44, 194, 1, 43, 1200, 1111
50,12,neighbour,1, 51, 218, 2, 50, 1211, 1120
50,13,ML,1, 50, 228, 63, 49, 1339, 1213
50,13,distance,1, 50, 226, 1, 49, 1446, 1270
50,13,conflict,1, 54, 250, 1, 53, 1365, 1214
50,13,neighbour,1, 49, 210, 1, 48, 1395, 1230
50,14,ML,1, 56, 259, 61, 55, 1279, 1146
50,14,distance,1, 56, 258, 1, 55, 1229, 1129
50,14,conflict,1, 56, 248, 2, 55, 1223, 1157
50,14,neighbour,1, 60, 271, 1, 59, 1222, 1131
50,15,ML,1, 46, 199, 64, 45, 1261, 1141
50,15,distance,1, 46, 202, 1, 45, 1266, 1154
50,15,conflict,1, 49, 217, 1, 48, 1281, 1151
50,15,neighbour,1, 62, 268, 1, 61, 1365, 1203
50,16,ML,1, 7766, 215483, 715, 69, 1475, 1313
50,16,distance,1, 60, 352, 1, 51, 1388, 1276
50,16,conflict,1, 48, 212, 2, 47, 1481, 1289
50,16,neighbour,1, 91, 785, 3, 54, 1387, 1257
50,17,ML,1, 51, 239, 59, 50, 1413, 1255
50,17,distance,1, 49, 218, 1, 48, 1320, 1209
50,17,conflict,1, 51, 228, 1, 50, 1382, 1229
50,17,neighbour,1, 72, 319, 2, 70, 1500, 1271
50,18,ML,1, 50, 229, 65, 49, 1233, 1134
50,18,distance,1, 51, 239, 1, 50, 1237, 1124
50,18,conflict,1, 86, 506, 2, 72, 1375, 1194
50,18,neighbour,1, 62, 252, 1, 60, 1288, 1184
50,19,ML,1, 45, 198, 61, 44, 1142, 1086
50,19,distance,1, 45, 202, 1, 44, 1113, 1067
50,19,conflict,1, 57, 248, 1, 54, 1236, 1134
50,19,neighbour,1, 69, 319, 2, 66, 1212, 1154
50,20,ML,1, 52, 243, 73, 51, 1471, 1311
50,20,distance,1, 52, 236, 1, 51, 1431, 1288
50,20,conflict,1, 52, 238, 1, 51, 1387, 1261
50,20,neighbour,1, 69, 331, 1, 67, 1488, 1348
50,21,ML,1, 55, 244, 61, 54, 1339, 1218
50,21,distance,1, 55, 251, 1, 54, 1391, 1240
50,21,conflict,1, 84, 377, 1, 80, 1480, 1329
50,21,neighbour,1, 61, 274, 2, 60, 1316, 1218
50,22,ML,1, 47, 213, 65, 46, 1095, 1039
50,22,distance,1, 46, 210, 1, 45, 1097, 1033
50,22,conflict,1, 46, 206, 1, 45, 1055, 1014
50,22,neighbour,1, 46, 198, 1, 45, 1091, 1021
50,23,ML,1, 52, 237, 67, 51, 1411, 1289
50,23,distance,1, 52, 233, 1, 51, 1415, 1304
50,23,conflict,1, 52, 245, 1, 51, 1441, 1291
50,23,neighbour,1, 52, 229, 1, 51, 1481, 1304
50,24,ML,1, 47, 210, 99, 46, 1358, 1215
50,24,distance,1, 46, 210, 2, 45, 1248, 1146
50,24,conflict,1, 46, 206, 1, 45, 1264, 1135
50,24,neighbour,1, 47, 208, 1, 46, 1300, 1156
50,25,ML,1, 57, 265, 64, 56, 1229, 1067
50,25,distance,1, 56, 260, 1, 55, 1209, 1069
50,25,conflict,1, 58, 264, 1, 57, 1154, 1053
50,25,neighbour,1, 56, 263, 1, 55, 1223, 1059
50,26,ML,1, 52, 239, 63, 51, 1326, 1137
50,26,distance,1, 52, 240, 1, 51, 1365, 1131
50,26,conflict,1, 57, 266, 1, 56, 1412, 1145
50,26,neighbour,1, 55, 243, 1, 54, 1288, 1128
50,27,ML,1, 50, 233, 64, 49, 1100, 1026
50,27,distance,1, 50, 235, 1, 49, 1087, 1022
50,27,conflict,1, 50, 224, 2, 49, 1081, 1010
50,27,neighbour,1, 50, 226, 1, 49, 1071, 1018
50,28,ML,1, 48, 225, 67, 47, 1347, 1224
50,28,distance,1, 44, 207, 1, 43, 1228, 1156
50,28,conflict,1, 44, 200, 1, 43, 1259, 1170
50,28,neighbour,1, 44, 197, 1, 43, 1183, 1130
50,29,ML,1, 45, 206, 63, 44, 1160, 1042
50,29,distance,1, 45, 197, 1, 44, 1147, 1052
50,29,conflict,1, 46, 207, 1, 45, 1174, 1050
50,29,neighbour,1, 45, 197, 1, 44, 1184, 1050
50,30,ML,1, 63, 440, 62, 44, 1180, 1100
50,30,distance,1, 45, 206, 1, 43, 1167, 1101
50,30,conflict,1, 43, 204, 1, 42, 1205, 1110
50,30,neighbour,1, 46, 201, 1, 45, 1178, 1097
50,31,ML,1, 54, 241, 67, 53, 1230, 1146
50,31,distance,1, 52, 233, 1, 51, 1242, 1151
50,31,conflict,1, 54, 236, 1, 53, 1250, 1157
50,31,neighbour,1, 77, 327, 2, 73, 1545, 1335
50,32,ML,1, 45, 199, 64, 44, 1398, 1297
50,32,distance,1, 45, 212, 1, 44, 1371, 1294
50,32,conflict,1, 46, 213, 1, 45, 1345, 1259
50,32,neighbour,1, 78, 361, 2, 76, 1527, 1349
50,33,ML,1, 50, 233, 68, 49, 1286, 1144
50,33,distance,1, 50, 232, 2, 49, 1257, 1143
50,33,conflict,1, 50, 226, 1, 49, 1268, 1143
50,33,neighbour,1, 50, 228, 1, 49, 1229, 1134
50,34,ML,1, 52, 231, 68, 51, 1309, 1242
50,34,distance,1, 52, 234, 1, 51, 1271, 1224
50,34,conflict,1, 52, 226, 1, 51, 1355, 1243
50,34,neighbour,1, 52, 239, 1, 51, 1335, 1241
50,35,ML,1, 49, 213, 61, 48, 1337, 1249
50,35,distance,1, 47, 213, 1, 46, 1380, 1272
50,35,conflict,1, 48, 216, 1, 47, 1371, 1255
50,35,neighbour,1, 50, 217, 1, 49, 1401, 1302
50,36,ML,1, 2564, 58280, 266, 52, 1412, 1231
50,36,distance,1, 49, 220, 1, 48, 1292, 1212
50,36,conflict,1, 49, 226, 1, 48, 1292, 1198
50,36,neighbour,1, 52, 234, 1, 51, 1265, 1202
50,37,ML,1, 50, 231, 71, 49, 1416, 1231
50,37,distance,1, 50, 233, 1, 49, 1458, 1251
50,37,conflict,1, 53, 240, 1, 52, 1482, 1238
50,37,neighbour,1, 71, 314, 1, 70, 1613, 1362
50,38,ML,1, 48, 217, 68, 47, 1338, 1248
50,38,distance,1, 46, 212, 1, 45, 1305, 1246
50,38,conflict,1, 46, 219, 2, 45, 1293, 1236
50,38,neighbour,1, 47, 214, 1, 46, 1338, 1240
50,39,ML,1, 44, 199, 69, 43, 1351, 1221
50,39,distance,1, 47, 214, 1, 46, 1339, 1221
50,39,conflict,1, 47, 209, 1, 46, 1432, 1265
50,39,neighbour,1, 69, 295, 1, 66, 1447, 1253
50,40,ML,1, 46, 201, 70, 45, 1323, 1190
50,40,distance,1, 46, 202, 1, 45, 1361, 1194
50,40,conflict,1, 46, 210, 1, 45, 1319, 1149
50,40,neighbour,1, 65, 268, 1, 64, 1358, 1224
50,41,ML,1, 45, 212, 66, 44, 1169, 1126
50,41,distance,1, 45, 207, 2, 44, 1215, 1135
50,41,conflict,1, 51, 234, 1, 48, 1217, 1153
50,41,neighbour,1, 61, 290, 2, 58, 1303, 1217
50,42,ML,1, 51, 230, 75, 50, 1232, 1145
50,42,distance,1, 51, 227, 1, 50, 1194, 1134
50,42,conflict,1, 53, 244, 2, 52, 1210, 1151
50,42,neighbour,1, 51, 229, 2, 50, 1184, 1111
50,43,ML,1, 44, 193, 66, 43, 1358, 1207
50,43,distance,1, 48, 212, 1, 47, 1378, 1251
50,43,conflict,1, 46, 204, 1, 45, 1294, 1206
50,43,neighbour,1, 65, 270, 1, 63, 1442, 1320
50,44,ML,1, 42, 189, 117, 41, 1106, 1048
50,44,distance,1, 42, 178, 1, 41, 1077, 1044
50,44,conflict,1, 44, 195, 1, 43, 1109, 1037
50,44,neighbour,1, 42, 181, 1, 41, 1089, 1034
50,45,ML,1, 48, 219, 69, 47, 1255, 1167
50,45,distance,1, 48, 216, 1, 47, 1235, 1156
50,45,conflict,1, 48, 216, 1, 47, 1249, 1167
50,45,neighbour,1, 71, 346, 2, 69, 1445, 1240
50,46,ML,1, 46, 214, 64, 45, 1285, 1172
50,46,distance,1, 42, 187, 1, 41, 1256, 1132
50,46,conflict,1, 60, 290, 1, 58, 1307, 1202
50,46,neighbour,1, 68, 340, 1, 64, 1402, 1266
50,47,ML,1, 42, 190, 78, 41, 1260, 1199
50,47,distance,1, 42, 177, 1, 41, 1286, 1228
50,47,conflict,1, 46, 212, 1, 45, 1375, 1289
50,47,neighbour,1, 80, 357, 2, 78, 1429, 1336
50,48,ML,1, 57, 264, 65, 56, 1236, 1185
50,48,distance,1, 57, 266, 2, 56, 1249, 1156
50,48,conflict,1, 58, 271, 1, 57, 1267, 1171
50,48,neighbour,1, 57, 257, 1, 56, 1194, 1123
50,49,ML,1, 51, 243, 108, 50, 1278, 1117
50,49,distance,1, 49, 225, 1, 48, 1237, 1130
50,49,conflict,1, 51, 245, 1, 48, 1197, 1104
