Agent,Seed,Heuristic,Solved,HNode,LNode,Time,Makespan,SOC,SOL
50,0,ML,1, 46, 201, 68, 45, 1310, 1171
50,0,distance,1, 44, 198, 52, 43, 1326, 1193
50,0,conflict,1, 51, 227, 31, 50, 1333, 1188
50,0,neighbour,1, 62, 292, 31, 57, 1417, 1248
50,1,ML,1, 57, 256, 31, 56, 1359, 1280
50,1,distance,1, 57, 263, 31, 56, 1368, 1291
50,1,conflict,1, 63, 281, 54, 62, 1400, 1281
50,1,neighbour,1, 67, 341, 52, 61, 1435, 1320
50,2,ML,1, 49, 230, 31, 48, 1054, 928
50,2,distance,1, 49, 235, 49, 48, 1046, 954
50,2,conflict,1, 49, 213, 31, 48, 972, 906
50,2,neighbour,1, 70, 332, 32, 68, 1189, 1052
50,3,ML,1, 53, 251, 31, 52, 1409, 1304
50,3,distance,1, 52, 241, 31, 51, 1440, 1309
50,3,conflict,1, 52, 238, 52, 51, 1388, 1288
50,3,neighbour,1, 59, 271, 31, 58, 1415, 1308
50,4,ML,1, 56, 253, 49, 55, 1330, 1260
50,4,distance,1, 56, 255, 32, 55, 1317, 1258
50,4,conflict,1, 58, 266, 31, 57, 1395, 1280
50,4,neighbour,1, 56, 252, 64, 55, 1368, 1286
50,5,ML,1, 46, 210, 31, 45, 1171, 1073
50,5,distance,1, 46, 205, 70, 45, 1215, 1109
50,5,conflict,1, 48, 216, 31, 47, 1274, 1121
50,5,neighbour,1, 53, 246, 31, 51, 1240, 1132
50,6,ML,1, 49, 221, 32, 48, 1193, 1138
50,6,distance,1, 49, 225, 31, 48, 1156, 1107
50,6,conflict,1, 50, 228, 31, 49, 1206, 1140
50,6,neighbour,1, 49, 218, 32, 48, 1185, 1117
50,7,ML,1, 49, 223, 32, 48, 1277, 1195
50,7,distance,1, 49, 219, 52, 48, 1324, 1207
50,7,conflict,1, 49, 229, 32, 48, 1286, 1181
50,7,neighbour,1, 53, 235, 31, 52, 1365, 1240
50,8,ML,1, 50, 220, 32, 49, 1354, 1291
50,8,distance,1, 50, 227, 55, 49, 1343, 1281
50,8,conflict,1, 50, 230, 32, 49, 1349, 1286
50,8,neighbour,1, 50, 214, 31, 49, 1399, 1295
50,9,ML,1, 43, 198, 32, 42, 1164, 1063
50,9,distance,1, 43, 201, 29, 42, 1169, 1062
50,9,conflict,1, 48, 225, 31, 45, 1180, 1109
50,9,neighbour,1, 43, 177, 51, 42, 1182, 1083
50,10,ML,1, 58, 262, 32, 57, 1226, 1147
50,10,distance,1, 56, 237, 31, 55, 1268, 1150
50,10,conflict,1, 57, 270, 31, 55, 1202, 1146
50,10,neighbour,1, 58, 249, 50, 57, 1255, 1167
50,11,ML,1, 46, 209, 31, 45, 1146, 1041
50,11,distance,1, 46, 217, 31, 45, 1045, 1022
