obstacle_p,agent_p,a_g,a_ng,d_below,d_above,d_max,d_min,d_avg,d_std,c_below,c_above,c_max,c_min,c_avg,c_std,ng_0,ng_1,ng_2,ng_3,ng_4,y1,y2,y3
0.30476941551807574,0.0008961697704013049,0,1,0.58,0.42,39,2,17.5,9.25689,0.86,0.14,1,0,0.14,0.346987,0,0,2,12,36,6,0,0,1
0.30476941551807574,0.0008961697704013049,0,1,0.56,0.44,34,1,12.94,8.87786,0.66,0.34,3,0,0.5,0.781025,0,0,1,12,37,11,0,0,1
0.30476941551807574,0.0008961697704013049,0.16,0.84,0.6,0.4,29,0,8.84,8.17401,0.72,0.28,5,0,1.04,1.09471,0,0,2,8,40,16,0,0,1
0.30476941551807574,0.0008961697704013049,0.34,0.66,0.66,0.34,24,0,5.48,6.96057,0.6,0.4,5,0,1.38,1.18136,0,0,2,13,35,21,0,0,1
0.30476941551807574,0.0008961697704013049,0.64,0.36,0.74,0.26,19,0,3.2,5.37773,0.52,0.48,5,0,1.6,1.31149,0,0,2,15,33,26,0,0,1
0.30476941551807574,0.0008961697704013049,0.7,0.3,0.76,0.24,14,0,1.86,3.68787,0.48,0.52,6,0,1.82,1.42394,0,0,2,12,36,31,0,0,1
0.30476941551807574,0.0008961697704013049,0.78,0.22,0.78,0.22,9,0,0.88,2.04587,0.46,0.54,6,0,1.94,1.50213,0,0,2,14,34,36,0,0,1
0.30476941551807574,0.0008961697704013049,0.94,0.06,0.94,0.06,4,0,0.14,0.632772,0.46,0.54,6,0,1.96,1.53571,0,0,2,17,31,41,0,0,1
0.30476941551807574,0.0017923395408026097,0.06,0.94,0.59,0.41,38,0,12.17,9.3049,0.49,0.51,4,0,0.75,0.89861,0,0,4,30,66,11,1,0,0
0.30476941551807574,0.0017923395408026097,0.18,0.82,0.59,0.41,33,0,8.47,8.30597,0.58,0.42,6,0,1.49,1.38921,0,0,5,25,70,16,1,0,0
0.30476941551807574,0.0017923395408026097,0.42,0.58,0.66,0.34,28,0,5.42,7.11643,0.63,0.37,9,0,2.12,1.72209,0,0,2,28,70,21,1,0,0
0.30476941551807574,0.0017923395408026097,0.6,0.4,0.72,0.28,23,0,3.23,5.58544,0.56,0.44,9,0,2.59,2.05959,0,0,2,27,71,26,1,0,0
